name,namespace,kind,message,reason
nginx,default,Deployment,nginx CPU limits should be set.,
,,,nginx CPU requests should be set.,
,,,"nginx image tag not specified, do not use 'latest'.",
,,,nginx livenessProbe should be set.,
,,,nginx memory limits should be set.,
,,,nginx memory requests should be set.,
,,,nginx priorityClassName can be set.,
,,,nginx root file system should be set read only.,
,,,nginx readinessProbe should be set.,
,,,nginx runAsNonRoot can be set.,
nginx11,default,Deployment,nginx11 allowPrivilegeEscalation should be set false.,
,,,nginx11 have HighRisk capabilities.,
,,,nginx11 hostIPC should not be set.,
,,,nginx11 hostPort should not be set.,
,,,nginx11 imagePullPolicy should be set 'Always'.,
,,,"nginx11 image tag not specified, do not use 'latest'.",
,,,nginx11 have insecure capabilities.,
,,,nginx11 priorityClassName can be set.,
,,,nginx11 privileged should be set false.,
,,,nginx11 root file system should be set read only.,
,,,nginx11 runAsNonRoot can be set.,
coredns,kube-system,Deployment,coredns CPU limits should be set.,
,,,coredns imagePullPolicy should be set 'Always'.,
,,,coredns have insecure capabilities.,
,,,coredns runAsNonRoot can be set.,
kube-proxy,kube-system,DaemonSet,kube-proxy CPU limits should be set.,
,,,kube-proxy CPU requests should be set.,
,,,kube-proxy hostNetwork should not be set.,
,,,kube-proxy imagePullPolicy should be set 'Always'.,
,,,kube-proxy livenessProbe should be set.,
,,,kube-proxy memory limits should be set.,
,,,kube-proxy memory requests should be set.,
,,,kube-proxy privileged should be set false.,
,,,kube-proxy root file system should be set read only.,
,,,kube-proxy readinessProbe should be set.,
,,,kube-proxy runAsNonRoot can be set.,
my-cronjob,default,CronJob,my-cronjob CPU limits should be set.,
,,,my-cronjob CPU requests should be set.,
,,,my-cronjob allowPrivilegeEscalation should be set false.,
,,,my-cronjob have HighRisk capabilities.,
,,,my-cronjob hostIPC should not be set.,
,,,my-cronjob hostNetwork should not be set.,
,,,my-cronjob hostPID should not be set.,
,,,my-cronjob hostPort should not be set.,
,,,my-cronjob imagePullPolicy should be set 'Always'.,
,,,"my-cronjob image tag not specified, do not use 'latest'.",
,,,my-cronjob have insecure capabilities.,
,,,my-cronjob livenessProbe should be set.,
,,,my-cronjob memory limits should be set.,
,,,my-cronjob memory requests should be set.,
,,,my-cronjob priorityClassName can be set.,
,,,my-cronjob privileged should be set false.,
,,,my-cronjob root file system should be set read only.,
,,,my-cronjob readinessProbe should be set.,
testrole,kube-system,Role,testrole can impersonate user.,
,,,testrole can delete resources.,
,,,testrole can modify workloads.,
testclusterrole,,ClusterRole,testclusterrole can impersonate user.,
,,,testclusterrole can delete resource.,
,,,testclusterrole can modify workloads.,
vpnkit-controller.16acd7f7536c62e8,kube-system,cluster,Back-off restarting failed container,BackOff
